# hebcal yomtov cache
# startYear=2026 years=100 israel=on
date,name
2026-04-02,"פסח א׳"
2026-04-08,"פסח ז׳"
2026-05-22,"שבועות"
2026-09-12,"ראש השנה 5787"
2026-09-13,"ראש השנה ב׳"
2026-09-21,"יום כיפור"
2026-09-26,"סוכות א׳"
2026-10-03,"שמיני עצרת"
2027-04-22,"פסח א׳"
2027-04-28,"פסח ז׳"
2027-06-11,"שבועות"
2027-10-02,"ראש השנה 5788"
2027-10-03,"ראש השנה ב׳"
2027-10-11,"יום כיפור"
2027-10-16,"סוכות א׳"
2027-10-23,"שמיני עצרת"
2028-04-11,"פסח א׳"
2028-04-17,"פסח ז׳"
2028-05-31,"שבועות"
2028-09-21,"ראש השנה 5789"
2028-09-22,"ראש השנה ב׳"
2028-09-30,"יום כיפור"
2028-10-05,"סוכות א׳"
2028-10-12,"שמיני עצרת"
2029-03-31,"פסח א׳"
2029-04-06,"פסח ז׳"
2029-05-20,"שבועות"
2029-09-10,"ראש השנה 5790"
2029-09-11,"ראש השנה ב׳"
2029-09-19,"יום כיפור"
2029-09-24,"סוכות א׳"
2029-10-01,"שמיני עצרת"
2030-04-18,"פסח א׳"
2030-04-24,"פסח ז׳"
2030-06-07,"שבועות"
2030-09-28,"ראש השנה 5791"
2030-09-29,"ראש השנה ב׳"
2030-10-07,"יום כיפור"
2030-10-12,"סוכות א׳"
2030-10-19,"שמיני עצרת"
2031-04-08,"פסח א׳"
2031-04-14,"פסח ז׳"
2031-05-28,"שבועות"
2031-09-18,"ראש השנה 5792"
2031-09-19,"ראש השנה ב׳"
2031-09-27,"יום כיפור"
2031-10-02,"סוכות א׳"
2031-10-09,"שמיני עצרת"
2032-03-27,"פסח א׳"
2032-04-02,"פסח ז׳"
2032-05-16,"שבועות"
2032-09-06,"ראש השנה 5793"
2032-09-07,"ראש השנה ב׳"
2032-09-15,"יום כיפור"
2032-09-20,"סוכות א׳"
2032-09-27,"שמיני עצרת"
2033-04-14,"פסח א׳"
2033-04-20,"פסח ז׳"
2033-06-03,"שבועות"
2033-09-24,"ראש השנה 5794"
2033-09-25,"ראש השנה ב׳"
2033-10-03,"יום כיפור"
2033-10-08,"סוכות א׳"
2033-10-15,"שמיני עצרת"
2034-04-04,"פסח א׳"
2034-04-10,"פסח ז׳"
2034-05-24,"שבועות"
2034-09-14,"ראש השנה 5795"
2034-09-15,"ראש השנה ב׳"
2034-09-23,"יום כיפור"
2034-09-28,"סוכות א׳"
2034-10-05,"שמיני עצרת"
2035-04-24,"פסח א׳"
2035-04-30,"פסח ז׳"
2035-06-13,"שבועות"
2035-10-04,"ראש השנה 5796"
2035-10-05,"ראש השנה ב׳"
2035-10-13,"יום כיפור"
2035-10-18,"סוכות א׳"
2035-10-25,"שמיני עצרת"
2036-04-12,"פסח א׳"
2036-04-18,"פסח ז׳"
2036-06-01,"שבועות"
2036-09-22,"ראש השנה 5797"
2036-09-23,"ראש השנה ב׳"
2036-10-01,"יום כיפור"
2036-10-06,"סוכות א׳"
2036-10-13,"שמיני עצרת"
2037-03-31,"פסח א׳"
2037-04-06,"פסח ז׳"
2037-05-20,"שבועות"
2037-09-10,"ראש השנה 5798"
2037-09-11,"ראש השנה ב׳"
2037-09-19,"יום כיפור"
2037-09-24,"סוכות א׳"
2037-10-01,"שמיני עצרת"
2038-04-20,"פסח א׳"
2038-04-26,"פסח ז׳"
2038-06-09,"שבועות"
2038-09-30,"ראש השנה 5799"
2038-10-01,"ראש השנה ב׳"
2038-10-09,"יום כיפור"
2038-10-14,"סוכות א׳"
2038-10-21,"שמיני עצרת"
2039-04-09,"פסח א׳"
2039-04-15,"פסח ז׳"
2039-05-29,"שבועות"
2039-09-19,"ראש השנה 5800"
2039-09-20,"ראש השנה ב׳"
2039-09-28,"יום כיפור"
2039-10-03,"סוכות א׳"
2039-10-10,"שמיני עצרת"
2040-03-29,"פסח א׳"
2040-04-04,"פסח ז׳"
2040-05-18,"שבועות"
2040-09-08,"ראש השנה 5801"
2040-09-09,"ראש השנה ב׳"
2040-09-17,"יום כיפור"
2040-09-22,"סוכות א׳"
2040-09-29,"שמיני עצרת"
2041-04-16,"פסח א׳"
2041-04-22,"פסח ז׳"
2041-06-05,"שבועות"
2041-09-26,"ראש השנה 5802"
2041-09-27,"ראש השנה ב׳"
