month,day,fast,alot,misheyakir,netz,sz_kriat_shma,sz_tfila,hatzot,mincha,candles,sunset,stars,havdalah
1,1,504,523,546,641,832,1001,1141,1211,1611,1641,1700,1721
1,2,504,523,546,641,832,1002,1142,1212,1612,1642,1701,1722
1,3,505,523,546,642,833,1002,1142,1212,1613,1643,1702,1723
1,4,505,523,546,642,833,1002,1143,1213,1614,1644,1703,1724
1,5,505,524,546,642,833,1003,1143,1213,1614,1644,1703,1724
1,6,505,524,546,642,834,1003,1144,1214,1615,1645,1704,1725
1,7,505,524,547,642,834,1003,1144,1214,1616,1646,1705,1726
1,8,505,524,547,642,834,1004,1144,1214,1617,1647,1706,1727
1,9,506,524,547,642,834,1004,1145,1215,1618,1648,1707,1727
1,10,506,524,547,642,835,1004,1145,1215,1619,1649,1707,1728
1,11,506,524,547,642,835,1004,1146,1216,1620,1650,1708,1729
1,12,506,524,547,642,835,1005,1146,1216,1620,1650,1709,1730
1,13,506,524,547,642,835,1005,1146,1216,1621,1651,1710,1731
1,14,506,524,547,641,835,1005,1147,1217,1622,1652,1711,1732
1,15,505,524,547,641,836,1005,1147,1217,1623,1653,1712,1732
1,16,505,524,546,641,836,1005,1148,1218,1624,1654,1713,1733
1,17,505,524,546,641,836,1006,1148,1218,1625,1655,1713,1734
1,18,505,524,546,641,836,1006,1148,1218,1626,1656,1714,1735
1,19,505,523,546,640,836,1006,1149,1219,1627,1657,1715,1736
1,20,505,523,546,640,836,1006,1149,1219,1628,1658,1716,1737
1,21,505,523,545,640,836,1006,1149,1219,1629,1659,1717,1738
1,22,504,523,545,639,836,1006,1149,1219,1630,1700,1718,1739
1,23,504,522,545,639,836,1006,1150,1220,1631,1701,1719,1739
1,24,504,522,544,638,836,1006,1150,1220,1632,1702,1720,1740
1,25,503,522,544,638,836,1006,1150,1220,1633,1703,1721,1741
1,26,503,521,543,637,836,1006,1150,1220,1634,1704,1722,1742
1,27,503,521,543,637,836,1006,1151,1221,1635,1705,1723,1743
1,28,502,520,543,636,836,1006,1151,1221,1636,1706,1724,1744
1,29,502,520,542,636,835,1006,1151,1221,1636,1706,1725,1745
1,30,501,519,542,635,835,1006,1151,1221,1637,1707,1725,1746
1,31,501,519,541,634,835,1006,1151,1221,1638,1708,1726,1747
2,1,500,518,540,634,835,1006,1151,1221,1639,1709,1727,1747
2,2,500,518,540,633,835,1005,1152,1222,1640,1710,1728,1748
2,3,459,517,539,632,834,1005,1152,1222,1641,1711,1729,1749
2,4,458,517,539,631,834,1005,1152,1222,1642,1712,1730,1750
2,5,458,516,538,631,834,1005,1152,1222,1643,1713,1731,1751
2,6,457,515,537,630,834,1005,1152,1222,1644,1714,1732,1752
2,7,456,515,536,629,833,1004,1152,1222,1645,1715,1733,1753
2,8,456,514,536,628,833,1004,1152,1222,1646,1716,1734,1754
2,9,455,513,535,627,833,1004,1152,1222,1647,1717,1735,1755
2,10,454,512,534,627,832,1004,1152,1222,1648,1718,1735,1755
2,11,453,511,533,626,832,1003,1152,1222,1649,1719,1736,1756
2,12,453,511,532,625,831,1003,1152,1222,1650,1720,1737,1757
2,13,452,510,532,624,831,1003,1152,1222,1651,1721,1738,1758
2,14,451,509,531,623,831,1002,1152,1222,1651,1721,1739,1759
2,15,450,508,530,622,830,1002,1152,1222,1652,1722,1740,1800
2,16,449,507,529,621,830,1002,1152,1222,1653,1723,1741,1800
2,17,448,506,528,620,829,1001,1152,1222,1654,1724,1742,1801
2,18,447,505,527,619,829,1001,1152,1222,1655,1725,1742,1802
2,19,446,504,526,618,828,1000,1152,1222,1656,1726,1743,1803
2,20,445,503,525,617,828,1000,1152,1222,1657,1727,1744,1804
2,21,444,502,524,616,827,1000,1152,1222,1658,1728,1745,1805
2,22,443,501,523,614,826,959,1151,1221,1659,1729,1746,1805
2,23,442,500,522,613,826,959,1151,1221,1659,1729,1747,1806
2,24,441,459,521,612,825,958,1151,1221,1700,1730,1747,1807
2,25,440,458,520,611,825,958,1151,1221,1701,1731,1748,1808
2,26,439,457,519,610,824,957,1151,1221,1702,1732,1749,1809
2,27,438,456,517,609,823,957,1151,1221,1703,1733,1750,1809
2,28,437,455,516,608,823,956,1151,1221,1704,1734,1751,1810
2,29,437,455,516,607,822,956,1151,1221,1704,1734,1752,1811
3,1,436,454,515,606,822,956,1150,1220,1704,1734,1752,1811
3,2,434,452,514,605,821,955,1150,1220,1705,1735,1752,1812
3,3,433,451,513,604,821,955,1150,1220,1706,1736,1753,1813
3,4,432,450,512,603,820,954,1150,1220,1707,1737,1754,1813
3,5,431,449,510,602,819,954,1150,1220,1708,1738,1755,1814
3,6,430,448,509,600,818,953,1149,1219,1708,1738,1755,1815
3,7,428,446,508,559,818,952,1149,1219,1709,1739,1756,1816
3,8,427,445,507,558,817,952,1149,1219,1710,1740,1757,1816
3,9,426,444,505,556,816,951,1149,1219,1711,1741,1758,1817
3,10,424,442,504,555,815,951,1148,1218,1711,1741,1759,1818
3,11,423,441,503,554,815,950,1148,1218,1712,1742,1759,1819
3,12,422,440,502,553,814,949,1148,1218,1713,1743,1800,1819
3,13,420,439,500,551,813,949,1148,1218,1714,1744,1801,1820
3,14,419,437,459,550,812,948,1147,1217,1715,1745,1802,1821
3,15,418,436,458,549,811,948,1147,1217,1715,1745,1802,1822
3,16,416,435,456,547,811,947,1147,1217,1716,1746,1803,1823
3,17,415,433,455,546,810,946,1146,1216,1717,1747,1804,1823
3,18,414,432,454,545,809,946,1146,1216,1718,1748,1805,1824
3,19,412,430,452,543,808,945,1146,1216,1718,1748,1805,1825
3,20,411,429,451,542,807,944,1146,1216,1719,1749,1806,1826
3,21,409,428,450,541,806,944,1145,1216,1720,1750,1807,1826
3,22,408,426,448,539,806,943,1145,1215,1720,1750,1808,1827
3,23,406,425,447,538,805,942,1145,1215,1721,1751,1808,1828
3,24,405,423,445,537,804,942,1144,1215,1722,1752,1809,1829
3,25,404,422,444,535,803,941,1144,1215,1723,1753,1810,1829
3,26,402,421,443,534,802,941,1144,1215,1723,1753,1811,1830
3,27,401,419,441,533,801,940,1143,1214,1724,1754,1811,1831
3,28,359,418,440,531,800,939,1143,1214,1725,1755,1812,1832
3,29,358,416,439,530,800,939,1143,1214,1726,1756,1813,1832
3,30,356,415,437,529,759,938,1143,1214,1726,1756,1813,1833
3,31,355,413,436,527,758,937,1142,1213,1727,1757,1814,1834
4,1,353,412,434,526,757,937,1142,1213,1728,1758,1815,1835
4,2,352,411,433,525,756,936,1142,1213,1728,1758,1816,1835
4,3,350,409,432,524,755,935,1141,1213,1729,1759,1816,1836
4,4,349,408,430,522,754,935,1141,1213,1730,1800,1817,1837
4,5,347,406,429,521,754,934,1141,1212,1731,1801,1818,1838
4,6,346,405,427,520,753,934,1140,1212,1731,1801,1819,1839
4,7,344,403,426,518,752,933,1140,1212,1732,1802,1819,1839
4,8,343,402,425,517,751,932,1140,1212,1733,1803,1820,1840
4,9,341,400,423,516,750,932,1140,1212,1733,1803,1821,1841
4,10,340,359,422,515,749,931,1139,1211,1734,1804,1822,1842
4,11,338,358,421,513,748,931,1139,1211,1735,1805,1822,1842
4,12,337,356,419,512,748,930,1139,1211,1736,1806,1823,1843
4,13,335,355,418,511,747,929,1139,1211,1736,1806,1824,1844
4,14,334,353,417,510,746,929,1138,1211,1737,1807,1825,1845
4,15,332,352,415,508,745,928,1138,1211,1738,1808,1825,1846
4,16,331,351,414,507,744,928,1138,1210,1739,1809,1826,1847
4,17,329,349,413,506,743,927,1138,1210,1739,1809,1827,1847
4,18,328,348,411,505,743,927,1137,1210,1740,1810,1828,1848
4,19,326,346,410,504,742,926,1137,1210,1741,1811,1829,1849
4,20,325,345,409,502,741,925,1137,1210,1742,1812,1829,1850
4,21,323,344,407,501,740,925,1137,1210,1742,1812,1830,1851
4,22,322,342,406,500,739,924,1137,1210,1743,1813,1831,1851
4,23,320,341,405,459,739,924,1136,1209,1744,1814,1832,1852
4,24,319,340,403,458,738,923,1136,1209,1745,1815,1832,1853
4,25,318,338,402,457,737,923,1136,1209,1745,1815,1833,1854
4,26,316,337,401,456,736,922,1136,1209,1746,1816,1834,1855
4,27,315,336,400,455,736,922,1136,1209,1747,1817,1835,1856
4,28,313,334,359,454,735,922,1136,1209,1747,1817,1836,1857
4,29,312,333,357,452,734,921,1135,1209,1748,1818,1836,1857
4,30,311,332,356,451,733,921,1135,1209,1749,1819,1837,1858
5,1,309,330,355,451,733,920,1135,1209,1750,1820,1838,1859
5,2,308,329,354,450,732,920,1135,1209,1750,1820,1839,1900
5,3,307,328,353,449,731,919,1135,1209,1751,1821,1840,1901
5,4,305,327,352,448,731,919,1135,1209,1752,1822,1840,1902
5,5,304,326,351,447,730,919,1135,1209,1753,1823,1841,1902
5,6,303,324,350,446,730,918,1135,1209,1753,1823,1842,1903
5,7,301,323,348,445,729,918,1135,1209,1754,1824,1843,1904
5,8,300,322,347,444,728,918,1134,1209,1755,1825,1844,1905
5,9,259,321,346,443,728,917,1134,1209,1756,1826,1844,1906
5,10,258,320,345,442,727,917,1134,1209,1756,1826,1845,1907
5,11,257,319,344,442,727,917,1134,1209,1757,1827,1846,1908
5,12,255,318,344,441,726,916,1134,1209,1758,1828,1847,1908
5,13,254,317,343,440,726,916,1134,1209,1759,1829,1847,1909
5,14,253,316,342,439,725,916,1134,1209,1759,1829,1848,1910
5,15,252,315,341,438,725,916,1134,1209,1800,1830,1849,1911
5,16,251,314,340,438,724,915,1134,1209,1801,1831,1850,1912
5,17,250,313,339,437,724,915,1134,1209,1802,1832,1851,1913
